follow_on_rate,market_value_usd,age_years,pct_seed,pct_early,pct_growth,stage_risk,dealflow_enc,region_India,region_UK,region_USA,market__saas,market__fintech,market__ai,market__healthtech,market__technology,market__consumer_goods,market__healthcare,market__sustainability,growth_x_followon,risk_x_age,dealflow_x_risk,ml_score,ml_prob,fuzzy_score,final_score
0.36,247000000.0,4.0629705681040384,0.6914893617021276,0.2553191489361702,0.05319148936170213,0.8,2.0,False,False,True,0,0,0,0,0,0,0,0,0.019148936170212766,3.2503764544832308,1.6,,,43.52828812965224,
0.2,120000000.0,5.144421629021219,0.6759259259259258,0.24074074074074073,0.08333333333333333,0.8,2.0,True,False,False,1,1,1,0,0,0,0,0,0.016666666666666666,4.115537303216975,1.6,,,32.730362753499,
0.36,20000000.0,0.0,0.6914893617021276,0.2553191489361702,0.05319148936170213,0.8,2.0,False,False,True,1,1,0,0,1,0,0,0,0.019148936170212766,0.0,1.6,0.9072058789098911,0.9072058789098911,60.935867028083756,0.7880669954582697
0.36,247000000.0,1.8124572210814511,0.6914893617021276,0.2553191489361702,0.05319148936170213,0.8,2.0,False,False,True,1,1,1,0,0,0,0,0,0.019148936170212766,1.449965776865161,1.6,,,57.24981511166271,
0.36,200000000.0,1.8124572210814511,0.6914893617021276,0.2553191489361702,0.05319148936170213,0.8,2.0,False,False,True,1,1,1,0,0,0,0,0,0.019148936170212766,1.449965776865161,1.6,,,57.24981511166271,
0.3,150000000.0,1.8124572210814511,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.8,2.0,False,False,True,1,1,1,0,0,0,0,0,0.030000000000000006,1.449965776865161,1.6,,,56.934013222230845,
0.36,247000000.0,1.8124572210814511,0.6914893617021276,0.2553191489361702,0.05319148936170213,0.8,2.0,False,False,True,1,1,1,0,0,0,0,0,0.019148936170212766,1.449965776865161,1.6,,,57.24981511166271,
0.33872483221476507,50000000.0,1.8124572210814511,0.8,0.15,0.05,1.0,2.0,False,True,False,1,1,1,0,0,0,0,0,0.016936241610738253,1.8124572210814511,2.0,,,47.13129635873651,
0.3,50000000.0,1.8124572210814511,0.8,0.15,0.05,0.8,2.0,False,False,True,1,1,0,1,0,0,0,0,0.015,1.449965776865161,1.6,,,56.934013222230845,
0.36,150000000.0,3.649555099247091,0.75,0.2,0.05,0.8,2.0,False,False,True,1,1,1,0,0,0,0,0,0.018,2.919644079397673,1.6,0.8858421474505023,0.8858421474505023,47.19175327736798,0.7202723015797733
0.2,50000000.0,1.8124572210814511,0.75,0.2,0.05,0.8,2.0,True,False,False,1,1,1,0,0,0,0,0,0.010000000000000002,1.449965776865161,1.6,,,52.14269555831969,
0.36,150000000.0,3.649555099247091,0.7000000000000001,0.20000000000000004,0.10000000000000002,0.8,2.0,False,False,True,0,0,0,0,0,0,0,1,0.036000000000000004,2.919644079397673,1.6,,,47.55291961330611,
